source_id,nombre,nivel,dominio,categoria,equipamiento,tipo_wod,intensidad,duracion_seg,descanso_seg,escalamiento,notas,como_hacerlo,consejos,errores_comunes,alias,featured,supports_strength_block,counts_as_movement,wod_types,time_domain,pairing_tags,avoid_pairing_with,is_benchmark,rx_carga_sugerida,synonyms,gif_url,how_to_status,media_status
1,Remo en anillas,Principiante,Gymnastic,Pull,Anillas,AMRAP,RPE 7,30,60,Ajustar ángulo del cuerpo,Horizontal pull para desarrollar fuerza de espalda,"Cuerpo recto colgando de las anillas, tira del pecho a las anillas apretando escápulas.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"pull,horizontal",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Inverted_Row_with_Straps/0.jpg,present_live_2026_07_22,existing_unverified
2,Flexiones,Principiante,Gymnastic,Push,Ninguno,AMRAP,RPE 7,30,60,Rodillas en el suelo,"Técnica perfecta: core apretado, codos 45°","Cuerpo recto, baja el pecho al suelo con los codos a 45° y empuja.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"push,horizontal",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1273.gif,present_live_2026_07_22,existing_unverified
3,Sentadillas al aire,Principiante,Gymnastic,Squat,Ninguno,AMRAP,RPE 6,30,45,Reducir profundidad,"Peso en talones, rodillas tracking con dedos","Pies a la anchura de hombros, baja la cadera bajo la rodilla y sube extendiendo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"squat,legs",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg,present_live_2026_07_22,existing_unverified
4,Plancha,Principiante,Gymnastic,Core,Ninguno,EMOM,RPE 8,30,90,Knees plank,"Core engagement, neutro espinal","Antebrazos y puntas de pies, cuerpo alineado, aprieta core y glúteo sin hundir la cadera.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,core,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2135.gif,present_live_2026_07_22,existing_unverified
5,Saltos de tijera,Principiante,Gymnastic,Cardio,Ninguno,AMRAP,RPE 5,30,30,Marcha en lugar,"Calentamiento, movilidad de hombros","Salta abriendo piernas y subiendo brazos, y vuelve al centro de forma rítmica.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
6,Subidas a cajón,Principiante,Gymnastic,Legs,"Box 12-20""",For Time,RPE 6,30,45,Box más baja,"Pie completo en box, empuje con pierna superior","Sube al cajón apoyando todo el pie y extiende la cadera arriba, alternando piernas.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,legs,,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Step-up_with_Knee_Raise/0.jpg,present_live_2026_07_22,existing_unverified
7,Abdominales,Principiante,Gymnastic,Core,AbMat (opcional),AMRAP,RPE 6,30,45,Assisted sit-ups,"Control en bajada, manos al suelo","Con AbMat, baja la espalda y sube tocando los pies con las manos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,core,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0456.gif,present_live_2026_07_22,existing_unverified
8,Burpees (escalado),Principiante,Gymnastic,Full Body,Ninguno,For Time,RPE 7,30,60,Step-back burpees,"Movimiento completo, ritmo constante","Baja al suelo, vuelve arriba y da un pequeño salto; sin exigencia de palmada.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"push,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1160.gif,present_live_2026_07_22,existing_unverified
9,Sentadilla goblet,Principiante,Weightlifting,Squat,Kettlebell/Mancuerna,EMOM,40-50% 1RM,30,90,Peso más ligero,Enseña patrón de sentadilla profunda,Sujeta el peso al pecho y baja a sentadilla profunda con el torso vertical.,,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"squat,legs",,0,40-50% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0534.gif,present_live_2026_07_22,existing_unverified
10,Press con mancuernas,Principiante,Weightlifting,Press,Mancuernas,EMOM,50-60% 1RM,30,90,Peso más ligero,Press de hombros bilateral,"De pie, empuja las mancuernas desde los hombros hasta bloqueo sin arquear la lumbar.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"push,vertical,shoulders",,0,50-60% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1293.gif,present_live_2026_07_22,existing_unverified
11,Balanceo con kettlebell (ruso),Principiante,Weightlifting,Hip Hinge,Kettlebell,AMRAP,RPE 7,30,60,KB más ligera,"Extensión de cadera explosiva, hasta altura de pecho",Bisagra de cadera y proyecta la kettlebell hasta la altura de los ojos con el impulso de cadera.,,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",variable,"hinge,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0549.gif,present_live_2026_07_22,existing_unverified
12,Peso muerto rumano,Principiante,Weightlifting,Hip Hinge,Barra/Mancuernas,Strength,50-60% 1RM,30,120,Peso reducido,"Patrón de bisagra, desarrollo de isquios","Bisagra de cadera con piernas casi rectas, baja la barra pegada y sube apretando glúteo.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"hinge,grip",,0,50-60% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0085.gif,present_live_2026_07_22,existing_unverified
13,Remo con mancuerna,Principiante,Weightlifting,Pull,Mancuernas,EMOM,RPE 7,30,60,Peso ligero,"Unilateral, estabilidad core","Con la espalda neutra, tira de la mancuerna al costado apretando la escápula.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"pull,horizontal",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/ /0.jpg,present_live_2026_07_22,existing_unverified
14,Sentadillas frontales (ligero),Principiante,Weightlifting,Squat,Barra,Strength,40-50% 1RM,30,120,PVC/barra vacía,"Torso erguido, movilidad de muñecas","Barra en rack frontal con codos altos, sentadilla profunda y controlada.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"squat,legs",,0,40-50% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0042.gif,present_live_2026_07_22,existing_unverified
15,Lanzamientos a pared (ligero),Principiante,Weightlifting,Full Body,Med Ball 6-10 lbs,AMRAP,RPE 7,30,45,"Peso reducido, target más bajo","Squat completo, lanzamiento coordinado",Sentadilla y lanza el balón al objetivo; recíbelo bajando de nuevo a sentadilla.,,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",variable,"squat,push","squat,push",0,,,,present_live_2026_07_22,missing
16,Press de empuje (ligero),Principiante,Weightlifting,Press,Barra,EMOM,50-60% 1RM,30,90,PVC/barra vacía,"Dip-drive, extensión overhead",Dip corto de piernas y empuja la barra sobre la cabeza aprovechando el impulso.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"push,vertical,explosivo",,0,50-60% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1700.gif,present_live_2026_07_22,existing_unverified
17,Remo (ritmo lento),Principiante,Monostructural,Cardio,Rower,For Time,RPE 6,300,120,Reducir distancia,"Técnica: piernas-core-brazos, ratio 1:2","Remo suave y técnico, cuida la secuencia y no tires sólo con los brazos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",largo,"mono,pull",,0,,,,present_live_2026_07_22,missing
18,Assault Bike (ritmo moderado),Principiante,Monostructural,Cardio,Assault Bike,EMOM,RPE 6,60,90,Reducir calorías,Brazos y piernas coordinadas,Pedaleo continuo y cómodo coordinando brazos y piernas.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
19,Carrera (ritmo suave),Principiante,Monostructural,Cardio,Ninguno,For Time,RPE 5-6,300,120,Caminar,"Mantener conversación, base aeróbica",Trote ligero y conversacional para calentar o base aeróbica.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",largo,"mono,legs",,0,,,,present_live_2026_07_22,missing
20,Comba (saltos simples),Principiante,Monostructural,Cardio,Jump Rope,AMRAP,RPE 6,60,45,Step-overs,"Saltos pequeños, muñecas relajadas","Salta pasando la comba una vez por salto, con botes pequeños y muñeca relajada.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"mono,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2612.gif,present_live_2026_07_22,existing_unverified
21,Ski Erg (moderado),Principiante,Monostructural,Cardio,Ski Erg,For Time,RPE 6,300,120,Reducir distancia,"Patrón de pull, core estable",Tirones controlados usando cadera y core a ritmo cómodo.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,pull",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2142.gif,present_live_2026_07_22,existing_unverified
22,Zancadas caminando,Principiante,Gymnastic,Cardio/Legs,Ninguno,For Time,RPE 6,60,45,Stationary lunges,Rodilla trasera casi al suelo,"Da un paso largo y baja la rodilla trasera casi al suelo, alternando piernas.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"legs,squat",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1460.gif,present_live_2026_07_22,existing_unverified
23,Subidas a cajón (cardio),Principiante,Monostructural,Cardio,Box,AMRAP,RPE 6,60,45,Box más baja,"Ritmo constante, alternando piernas",Sube y baja del cajón a ritmo constante alternando piernas.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Step-up_with_Knee_Raise/0.jpg,present_live_2026_07_22,existing_unverified
24,Aguante en posición hueca,Principiante,Accesorios,Core,Ninguno,EMOM,RPE 8,30,90,Knees bent,Posición gimnástica fundamental,"Lumbar pegada al suelo, brazos y piernas extendidos y despegados, mantén la tensión sin arquear.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,core,,0,,,,present_live_2026_07_22,missing
25,Aguante en posición Superman,Principiante,Accesorios,Core,Ninguno,EMOM,RPE 7,30,90,Brazos al lado,Fortalece cadena posterior,"Boca abajo, eleva brazos y piernas a la vez contrayendo glúteo y espalda baja.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,core,,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Superman/0.jpg,present_live_2026_07_22,existing_unverified
26,Puente de glúteos,Principiante,Accesorios,Glutes,Ninguno,EMOM,RPE 6,30,60,Reducir reps,Activación de glúteos,"Tumbado con los pies apoyados, empuja con talones y eleva la cadera apretando glúteo arriba.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,hinge,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1409.gif,present_live_2026_07_22,existing_unverified
27,Apertura de hombros con banda,Principiante,Accesorios,Shoulders,Banda,EMOM,RPE 6,30,45,Banda más ligera,"Salud de hombros, retracción escapular","Banda a la altura del pecho, brazos extendidos, sepárala juntando escápulas sin encoger el cuello.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,shoulders,,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Pull_Apart/0.jpg,present_live_2026_07_22,existing_unverified
28,Colgado muerto,Principiante,Accesorios,Grip,Pull-up Bar,EMOM,RPE 7,30,90,Pies en box,Desarrollo de grip y movilidad de hombros,"Cuelga de la barra con agarre firme, hombros activos (no encogidos) y core estable.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,grip,,0,,,,present_live_2026_07_22,missing
29,Buenos días con banda,Principiante,Accesorios,Hip Hinge,Banda,EMOM,RPE 6,30,60,Sin banda,Enseña patrón de bisagra,"Banda bajo los pies y en la nuca, bisagra de cadera con espalda neutra y vuelve extendiendo glúteo.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,hinge,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0044.gif,present_live_2026_07_22,existing_unverified
30,Dominadas escapulares,Principiante,Accesorios,Pull,Pull-up Bar,EMOM,RPE 7,30,90,Band assisted,Activación de dorsales y escápula,"Colgado con los brazos rectos, baja los hombros y aprieta escápulas sin flexionar los codos.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,"pull,grip",,0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Scapular_Pull-Up/0.jpg,present_live_2026_07_22,existing_unverified
31,Dominadas estrictas,Intermedio,Gymnastic,Pull,Pull-up Bar,AMRAP,RPE 8,30,90,Band assisted,"Kipping permitido en WODs, strict para fuerza","Sin balanceo, tira hasta pasar la barbilla la barra y baja a brazos extendidos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"pull,vertical,grip",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3293.gif,present_live_2026_07_22,existing_unverified
32,Dominadas pecho a barra,Intermedio,Gymnastic,Pull,Pull-up Bar,For Time,RPE 8,30,90,Regular pull-ups,"Pecho toca barra, explosivo","Tira hasta tocar la barra con el pecho, usando kipping coordinado de cadera.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"pull,vertical,grip",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3293.gif,present_live_2026_07_22,existing_unverified
33,Flexiones con despegue de manos,Intermedio,Gymnastic,Push,Ninguno,AMRAP,RPE 7,30,60,Regular push-ups,"Pecho al suelo, manos despegan",Flexión tocando el suelo con el pecho y despegando las manos antes de empujar.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"push,horizontal,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1273.gif,present_live_2026_07_22,existing_unverified
34,"Saltos a cajón (24""/20"")",Intermedio,Gymnastic,Legs,"Box 24-20""",For Time,RPE 7,30,60,Box más baja,Extensión completa de cadera arriba,"Salta con ambos pies al cajón, cae en cuclillas y extiende la cadera arriba.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"legs,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1374.gif,present_live_2026_07_22,existing_unverified
35,Burpees (RX),Intermedio,Gymnastic,Full Body,Ninguno,For Time,RPE 8,30,45,Step-back,"Pecho al suelo, salto con clap arriba","Pecho y muslos al suelo, sube y da un salto con palmada arriba en cada repetición.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",variable,"push,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1160.gif,present_live_2026_07_22,existing_unverified
36,Pies a barra,Intermedio,Gymnastic,Core,Pull-up Bar,AMRAP,RPE 8,30,90,Knees-to-elbows,"Kipping hollow-arch, dedos tocan barra","Colgado, balancea y lleva las puntas de los pies a la barra con el core.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"core,grip","grip,core",0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hanging_Pike/0.jpg,present_live_2026_07_22,existing_unverified
37,Fondos (anillas/paralelas),Intermedio,Gymnastic,Push,Rings/Paralelas,EMOM,RPE 8,30,90,Band assisted,"Shoulders abajo de codos, lockout completo","En apoyo, baja hasta que el hombro pase el codo y empuja a bloqueo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,push,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0677.gif,present_live_2026_07_22,existing_unverified
38,Sentadilla a una pierna (Pistol),Intermedio,Gymnastic,Legs,Ninguno,EMOM,RPE 8,30,90,Box pistols,"Unilateral, balance y fuerza","A una pierna, baja controlando con la otra extendida al frente y sube sin apoyo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"squat,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0544.gif,present_live_2026_07_22,existing_unverified
39,Abdominales en V,Intermedio,Gymnastic,Core,Ninguno,AMRAP,RPE 7,30,45,Sit-ups,Manos y pies se juntan arriba,"Tumbado, sube tronco y piernas rectas a la vez tocando manos con pies formando una V.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,core,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0456.gif,present_live_2026_07_22,existing_unverified
40,Aguante en pino (pared),Intermedio,Gymnastic,Press,Pared,EMOM,RPE 8,30,120,Pike position,Desarrollo de fuerza overhead y balance,"Sube a pino apoyando los talones en la pared, cuerpo alineado y hombros activos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"push,vertical,shoulders",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3302.gif,present_live_2026_07_22,existing_unverified
