source_id,nombre,nivel,dominio,categoria,equipamiento,tipo_wod,intensidad,duracion_seg,descanso_seg,escalamiento,notas,como_hacerlo,consejos,errores_comunes,alias,featured,supports_strength_block,counts_as_movement,wod_types,time_domain,pairing_tags,avoid_pairing_with,is_benchmark,rx_carga_sugerida,synonyms,gif_url,how_to_status,media_status
80,Burpee + Muscle-Up en barra,Avanzado,Gymnastic,Full Body,Pull-up Bar,For Time,RPE 9,30,90,Burpee + C2B,Combinación ultra-demandante,"Haz un burpee, salta a la barra y encadena un muscle-up de barra en cada repetición.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"pull,push,grip",grip,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/1160.gif,present_live_2026_07_22,existing_unverified
81,Snatch completo (61/43 kg),Avanzado,Weightlifting,Olympic,Barra,EMOM,75-85% 1RM,30,150,Hang snatch,"Desde suelo, recepción profunda en squat","De un tirón, lleva la barra del suelo a brazos extendidos recibiéndola en sentadilla.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull,explosivo",,0,61/43 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Snatch/0.jpg,present_live_2026_07_22,existing_unverified
82,Snatch en sentadilla (pesado),Avanzado,Weightlifting,Olympic,Barra,Strength,80-90% 1RM,30,180,Power snatch,"Full depth reception, movilidad total",Arranque completo recibiendo en sentadilla profunda; extensión y meterse debajo rápido.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,squat,explosivo",,0,80-90% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Snatch/0.jpg,present_live_2026_07_22,existing_unverified
83,"Clean en sentadilla (pesado, 84/61 kg)",Avanzado,Weightlifting,Olympic,Barra,For Time,75-85% 1RM,30,120,Power clean,"Catch deep, stand up aggressively","Tira de la barra, recíbela en sentadilla profunda al hombro y levántate.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,squat,explosivo",,0,84/61 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0648.gif,present_live_2026_07_22,existing_unverified
84,"Thrusters (pesado, 61/43 kg)",Avanzado,Weightlifting,Full Body,Barra,For Time,75-85% 1RM,30,90,Peso moderado,Sin pausa entre squat y press,"Front squat y, sin pausa, empuja la barra sobre la cabeza aprovechando el impulso de piernas.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,push","squat,push",0,61/43 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0550.gif,present_live_2026_07_22,existing_unverified
85,Sentadilla sobre cabeza (pesado),Avanzado,Weightlifting,Squat,Barra,Strength,70-80% 1RM,30,150,Peso moderado,"Movilidad extrema, fuerza overhead","Con la barra bloqueada arriba en agarre ancho, baja a sentadilla profunda manteniéndola sobre la cabeza.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,shoulders","squat,shoulders",0,70-80% 1RM,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0069.gif,present_live_2026_07_22,existing_unverified
86,"Clean & Jerk (pesado, 84/61 kg)",Avanzado,Weightlifting,Olympic,Barra,EMOM,80-90% 1RM,30,180,Power clean + push press,Movimiento completo competitivo,Cargada al hombro en un tiempo y jerk sobre la cabeza; espalda firme y extensión potente de cadera.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,push,explosivo",,0,84/61 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_and_Jerk/0.jpg,present_live_2026_07_22,existing_unverified
87,"Devil Press (pesado, mancuernas 22,5/15 kg)",Avanzado,Weightlifting,Full Body,Mancuernas,For Time,RPE 9,30,60,Peso reducido,Burpee + dual DB snatch overhead,"Con mancuernas, burpee al suelo y llévalas de un envión por encima de la cabeza.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",variable,"hinge,push,explosivo",,0,"22,5/15 kg",,,present_live_2026_07_22,missing
88,Cluster (61/43 kg),Avanzado,Weightlifting,Full Body,Barra,For Time,70-80% 1RM,30,90,Thruster,Squat clean + thruster en un movimiento,Squat clean y thruster encadenados: recibe en sentadilla y empuja sobre la cabeza en un flujo.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,squat,push","squat,push",0,61/43 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0550.gif,present_live_2026_07_22,existing_unverified
89,Zancadas caminando con peso sobre cabeza (pesado),Avanzado,Weightlifting,Legs,Barra/Plato,For Distance,RPE 8,60,90,Peso reducido,"Overhead stability, unilateral strength","Con el peso bloqueado arriba, zancadas caminando manteniendo el brazo vertical y estable.",,,,0,0,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",medio,"legs,shoulders",,0,,,,present_live_2026_07_22,missing
90,"Peso muerto (pesado, 143/102 kg)",Avanzado,Weightlifting,Pull,Barra,Strength,85-95% 1RM,30,240,Peso moderado,"Max effort, técnica perfecta","Espalda neutra, empuja el suelo y extiende cadera y rodillas juntas con la barra pegada.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull","hinge,pull",0,143/102 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0032.gif,present_live_2026_07_22,existing_unverified
91,Snatch en sentadilla desde colgado,Avanzado,Weightlifting,Olympic,Barra,EMOM,70-80% 1RM,30,120,Hang power snatch,"Desde rodillas, catch profundo","Desde por encima de la rodilla, arranque a sentadilla en un solo tiempo.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,squat,explosivo",,0,70-80% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hang_Snatch/0.jpg,present_live_2026_07_22,existing_unverified
92,Split Jerk (pesado),Avanzado,Weightlifting,Press,Barra,EMOM,80-90% 1RM,30,150,Push jerk,"Split footwork, lockout overhead","Dip y empuje explosivo metiéndote bajo la barra en tijera, y recupera los pies.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"push,vertical,explosivo","push,vertical",0,80-90% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Split_Jerk/0.jpg,present_live_2026_07_22,existing_unverified
93,"Remo (ritmo rápido, 1000m)",Avanzado,Monostructural,Cardio,Rower,For Time,RPE 8-9,240,120,Distancia reducida,"Split <1:50/500m, max effort","Secuencia piernas-cadera-brazos al empujar y brazos-cadera-piernas al recoger, a ritmo fuerte.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,pull",,0,,,,present_live_2026_07_22,missing
94,Assault Bike (50/35 cal),Avanzado,Monostructural,Cardio,Assault Bike,For Time,RPE 9,180,120,Calorías reducidas,All-out intensity,Pedalea y empuja/tira con los brazos de forma coordinada a ritmo alto hasta las calorías objetivo.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
95,Carrera (1 milla),Avanzado,Monostructural,Cardio,Ninguno,For Time,RPE 8,420,180,800m,Sub-7 min mile pace,"Corre a ritmo sostenible, con zancada relajada y respiración constante.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
96,Triple salto a la comba,Avanzado,Monostructural,Cardio,Jump Rope,AMRAP,RPE 8,60,60,Double-unders,Cuerda pasa 3 veces por salto,Salta alto y pasa la comba tres veces por salto con giro rápido de muñeca.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2612.gif,present_live_2026_07_22,existing_unverified
97,Ski Erg (1000m),Avanzado,Monostructural,Cardio,Ski Erg,For Time,RPE 8-9,240,120,Distancia reducida,"Max pull, explosive","De pie, tira de las asas hacia abajo usando core y cadera, no sólo los brazos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,pull",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2142.gif,present_live_2026_07_22,existing_unverified
98,Pies a barra (estrictos),Avanzado,Gymnastic,Core,Pull-up Bar,EMOM,RPE 9,30,120,Toes-to-bar kipping,"Sin swing, core strength puro","Colgado sin kipping, lleva las puntas de los pies a la barra elevando la pelvis con el core.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,"core,grip","grip,core",0,,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hanging_Pike/0.jpg,present_live_2026_07_22,existing_unverified
100,Fondos en anillas (con peso),Avanzado,Accesorios,Push,Rings + Weight,EMOM,RPE 9,30,120,BW ring dips,Estabilidad extrema,"Con anillas en apoyo y lastre, baja controlando hasta pasar el hombro del codo y empuja a bloqueo sin balanceo.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",medio,push,,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0677.gif,present_live_2026_07_22,existing_unverified
101,HSPU sin pared,Elite,Gymnastic,Press,Ninguno,EMOM,RPE 10,30,150,Wall HSPU,"Sin soporte de pared, balance total","Libre en pino, baja la cabeza al suelo y empuja manteniendo el equilibrio sin apoyo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"push,vertical","push,vertical",0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3302.gif,present_live_2026_07_22,existing_unverified
102,Escalada de cuerda sin piernas,Elite,Gymnastic,Pull,Rope,For Time,RPE 9,30,120,Regular rope climbs,"Solo brazos, fuerza grip extrema","Trepa la cuerda usando sólo los brazos, en posición de L-sit, sin ayuda de las piernas.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"pull,grip",grip,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0680.gif,present_live_2026_07_22,existing_unverified
103,HSPU en anillas,Elite,Gymnastic,Press,Rings,EMOM,RPE 10,30,180,Strict HSPU,"Anillas inestables, control total","En pino con las manos en anillas bajas, controla la inestabilidad y empuja a bloqueo.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"push,vertical","push,vertical",0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3302.gif,present_live_2026_07_22,existing_unverified
104,Escalada de clavijas (Pegboard),Elite,Gymnastic,Pull,Pegboard,For Time,RPE 9,30,120,Rope climb,Movimiento vertical con clavijas,"Con las clavijas en mano, sube el tablero colocándolas en huecos alternos usando core y tirón.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"pull,grip",grip,0,,,,present_live_2026_07_22,missing
105,Muscle-Ups en barra (estrictos),Elite,Gymnastic,Pull/Push,Pull-up Bar,EMOM,RPE 10,30,150,Kipping muscle-ups,"Sin momentum, fuerza pura","Muscle-up de barra sin balanceo, con dominada y fondo estrictos.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"pull,push,grip",grip,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0631.gif,present_live_2026_07_22,existing_unverified
106,Caminar en pino (50 pies sin pausa),Elite,Gymnastic,Balance,Ninguno,For Time,RPE 9,60,120,Distancia reducida,Velocidad + control,Desplázate en pino de forma continua repartiendo el peso y corrigiendo con pasos cortos.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"push,shoulders,core",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3302.gif,present_live_2026_07_22,existing_unverified
107,Muscle-Up en barra a L-Sit,Elite,Gymnastic,Full Body,Pull-up Bar,EMOM,RPE 10,30,180,Bar muscle-up,Combinación élite,Muscle-up de barra terminando en apoyo con las piernas en L al frente.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"pull,push,core",grip,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0631.gif,present_live_2026_07_22,existing_unverified
108,"Snatch (competición, 84/61 kg)",Elite,Weightlifting,Olympic,Barra,For Time,85-95% 1RM,30,180,Peso reducido,"Peso competitivo, técnica perfecta",Arranque completo a sentadilla con carga máxima; velocidad bajo la barra.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull,explosivo",,0,84/61 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Snatch/0.jpg,present_live_2026_07_22,existing_unverified
109,"Clean & Jerk (competición, 111/84 kg)",Elite,Weightlifting,Olympic,Barra,For Time,85-95% 1RM,30,240,Peso reducido,Peso competitivo CrossFit Games,Cargada y jerk con carga cercana al máximo; técnica y agresividad.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,push,explosivo",,0,111/84 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_and_Jerk/0.jpg,present_live_2026_07_22,existing_unverified
110,"Sentadilla sobre cabeza (pesado, 84/61 kg)",Elite,Weightlifting,Squat,Barra,For Time,80-90% 1RM,30,120,Peso moderado,"Alta carga, movilidad élite","Sentadilla profunda con la barra bloqueada arriba en agarre de arrancada, torso vertical.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,shoulders","squat,shoulders",0,84/61 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0069.gif,present_live_2026_07_22,existing_unverified
111,"Thrusters (competición, 84/61 kg)",Elite,Weightlifting,Full Body,Barra,For Time,85-95% 1RM,30,90,Peso moderado,Peso de competición/élite,"Front squat a envión sobre la cabeza con carga alta, sin pausas.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,push","squat,push",0,84/61 kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0550.gif,present_live_2026_07_22,existing_unverified
112,"Peso muerto (esfuerzo máximo, 180+/136+ kg)",Elite,Weightlifting,Pull,Barra,Strength,95-100% 1RM,30,300,Peso reducido,"Max lift, competitivo",Levantamiento a esfuerzo casi máximo con espalda neutra y bloqueo de cadera arriba.,,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull","hinge,pull",0,180+/136+ kg,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/0032.gif,present_live_2026_07_22,existing_unverified
113,Balance de Snatch (pesado),Elite,Weightlifting,Olympic,Barra,EMOM,80-90% Snatch,30,150,Peso moderado,"Speed under bar, confidence","Con la barra en la espalda, empújate bajo ella recibiéndola en sentadilla con brazos extendidos.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"squat,shoulders,explosivo",,0,80-90% Snatch,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Snatch_Balance/0.jpg,present_live_2026_07_22,existing_unverified
114,Complejo: Clean en sentadilla + Sentadilla frontal + Jerk,Elite,Weightlifting,Olympic,Barra,EMOM,75-85% 1RM,60,180,Simplificar complejo,Secuencia sin soltar barra,"Squat clean, sentadilla frontal y jerk encadenados sin soltar la barra.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,squat,push",,0,75-85% 1RM,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_and_Jerk/0.jpg,present_live_2026_07_22,existing_unverified
115,"Power Snatch (toque y sigue, 61/43 kg)",Elite,Weightlifting,Olympic,Barra,AMRAP,70-80% 1RM,30,90,Singles,"Sin soltar barra, cycling rápido","Arranque de potencia recibiendo por encima de media sentadilla, toque y sigue sin soltar.",,,,0,1,1,"{""Strength"",""For Time"",""EMOM"",""AMRAP""}",sprint,"hinge,pull,explosivo",,0,61/43 kg,,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Power_Snatch/0.jpg,present_live_2026_07_22,existing_unverified
116,"Remo (ritmo élite, 2000m)",Elite,Monostructural,Cardio,Rower,For Time,RPE 10,480,240,Distancia reducida,"Sub-7:00 para hombres, sub-8:00 mujeres",Ritmo élite con secuencia eficiente piernas-cadera-brazos y recuperación controlada.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,pull",,0,,,,present_live_2026_07_22,missing
117,Carrera (5K),Elite,Monostructural,Cardio,Ninguno,For Time,RPE 9,1500,300,1 mile,Sub-20 min 5K: nivel avanzado amateur,"Ritmo continuo aeróbico, controlando la respiración y la cadencia.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",largo,"mono,legs",,0,,,,present_live_2026_07_22,missing
118,Assault Bike (100 cal),Elite,Monostructural,Cardio,Assault Bike,For Time,RPE 10,420,180,Calorías reducidas,"Max output, Games standard",Ritmo máximo sostenible coordinando brazos y piernas hasta completar las calorías.,,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"mono,legs",,0,,,,present_live_2026_07_22,missing
120,Volteo de Worm en equipo,Elite,Accesorios,Strength,Worm,For Distance,RPE 10,60,120,Volteo de neumático ligero o sandbag en equipo,"Implemento pesado, explosivo","En equipo, agarre bajo el implemento, extiende cadera y rodillas a la vez para voltearlo hacia delante.",,,,0,0,1,"{""EMOM"",""For Time"",""AMRAP""}",sprint,"hinge,explosivo",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/2459.gif,present_live_2026_07_22,existing_unverified
121,Wall Walk (subida a la pared),Intermedio,Gymnastic,Press,Pared,For Time,RPE 8,,60,Subir sólo hasta la mitad,,"Desde plancha con los pies en la pared, camina con las manos hacia la pared subiendo hasta pino y baja controlando.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",medio,"push,shoulders,core",,0,,,https://sbqcnlwpvjavmljzkmfy.supabase.co/storage/v1/object/public/exercise-gifs/crossfit/3302.gif,present_live_2026_07_22,existing_unverified
122,Empuje de trineo (Sled Push),Intermedio,Accesorios,Cardio,Trineo,For Distance,RPE 8,,60,Reducir el peso,,"Empuja el trineo con los brazos extendidos y pasos potentes, manteniendo el torso inclinado y firme.",,,,0,0,1,"{""For Time"",""AMRAP"",""EMOM""}",sprint,"legs,push",,0,,,,present_live_2026_07_22,missing
